Venue ID,Venue Name,Instagram Handle
d4aeb9fa-a50a-4fb3-b7cd-b312ede051a1,The Old Bar,@theoldbar
bdcfc167-cf3e-41fb-a829-7951e465b361,Baxter's Lot,@baxterslot
