Gig Name,Character Length
"Midnight Circuitry / Synaptic Dreams (Front Bar)",48
"Ramona Sky 'Hypnotise' Single Launch",36
"DJ (Rooftop)",12
"Models + Boom Crash Opera (matinee)",35
"Matinee: 'Falastin Fundraiser' ft. Tumi the Be",46
"Kxx & Harriet Wraith",20
"The Prize w/ Dumb Punts & Gnome",31
"CONFIDE Queer Summer Sunday Series ☼ Vol. 5 – Simona, NAYNAY + more",67
"Zzzahara (USA) with Lucy Lamb",29
"ARVO SHOW w/ CURLY & THE FRINGE + BOOGIE ROCKAFELLA",51
"No Sleep Til Texas + Ben Mastwyk & The Energy",45
"The Melbourne Blues Collective ",31
"Tennyson King",13
"FREE ENTRY ARVO SHOW: CURLY & THE FRINGE + BOOGIE ROCKAFELLA",60
"Stingo Blues",12
"APATE – “THE BLACK NOISE TOUR”",30
"Black Jesus Experience",22
"Bad Decisions Comedy",20
"Domingo Latino - Calle Luna",27
"Cass Aware “November” Single Launch W Jaded State & Anne’s Lace.",64
"GIANT",5
"Chaperone vs Melbourne with The Valiants and Select All",55
"Whiskey Hawk (Debut Show)",25
"Dream Evil (SWE) Perform Dragonslayer",37
"PLEASE PUT ME OUT OF MY MISERY",30
"UNDERTOE + SANDS",16
"** FREE EVENT ** NORTHERN SHINERS",33
"Pretty Snazz At The Gem - Cup Day",33
"DNB Mondays CUP EVE",19
"Warehouse3000 pres. Anthony Pappa",33
"Amalia 'I Swear It Was Love' SINGLE LAUNCH",42
"The Cure album launch listening party",37
"NIEUW MONDAYS",13
"Bob Log III - Cup Eve - Party at Persa with special guests The Hybernators, Maquina Peligrosa and W.O.M.B.A.T...",112
"NU Techno x Samantha Loveridge",30
"Shut The Cup Up",15
"MACH PELICAN + LOS CHICOS (ES) + HUMAN TOYS (FR)",48
"the country & western ramblers - Cup eve (honky tonk monday special!)",69
"MORBID MONDAYS PUBLIC HOLIDAY EVE EDITION: GRIM RHYTHM + FLY! + SQUAMATA",72
"Honky Tonk Tuesdays",19
"Dream Evil (SWE)",16
"Cup Eve at Punters with The Pretty Littles",42
"Drunk Mums w/ Checkpoint and The Antics",39
"James Reyne",11
"Sweat Charli XCX + Troye Sivan (cup eve)",40
"LAURA KING: NOVEMBER PUBLIC HOLIDAY EVE!",40
"Things of Stone & Wood",22
"Pretty Snazz At The Gem - Cup Day",33
"'Cup Day Chaos II' ft. Hidden Intent",36
"Make It Up Club",15
"DOLE NIGHT with STUPID FUCK THE SILLY CLOWN + EBI NORI & THE PHANTOM FINGERS",76
"PRISON AFFAIR (SPAIN) + BUGHUNT + CLIT SPLIT + PUBLIC FIGURES",61
"The James Sherlock Trio",23
"Afro Space Jazz Industry",24
"Anna Morley",11
"DOLE NIGHT with STUPID FUCK THE SILLY CLOWN + EBI NORI & THE PHANTOM FINGERS",76
"PRISON AFFAIR (SPAIN) + BUGHUNT + CLIT SPLIT + PUBLIC FIGURES",61
"Afro Space Jazz Industry",24
"The James Sherlock Trio",23
"Anna Morley",11
"Jai Continuous Flow",19
"For Swings Sake (Front Bar)",27
"Tinkle: Drag Karaoke",20
"'Supply x Carpet Company Launch' ft. Posseshot",46
"DYNASTY + Lucky Max & Rare Phenomenon",37
"‘Slo To Go’ - ‘Crush’ single launch with ‘SAND’ + ‘Reality Never Dies’",70
"BÉTON ARMÉ (MTL) & FAZE (MTL) w/ Split System and Cantona",57
"Salmonella Dub SoundSystem (NZ)",31
"HUGO VAN BUUREN - launch + SANDY HSU + POLJE NIEUK",50
"THURSDAYS WITH THE RAILWAY GANG",31
"MAKE A SCENE EP. 11",19
"Staff After Party in Naarm Vol1",31
"tiffi - cold medicine tour",26
"The OWLS",8
"Jimmy Brown - The ‘love II’ Australia Tour | Melbourne",54
"The Matt Hoyne Quintet",22
"Minimum Wage w/ COOLDAD + Chloe Booth",37
"Blow",4
"Loose Content",13
"King Arthur: Sweet Honkytonk Honey",34
"Acoustic Act",12
"Honkygronk Let Them Eat Lead",28
"Trent Jaanz",11
"Sista Sara Rooftop DJ",21
"The Four Scoops (Front Bar)",27
"November Sounds",15
"5 years of ISU TAKI ft. La Payara [COL] & TYGUA [SYD]",53
"Maina Doe ODIWAMS Tour",22
"Sienna Skies ""The Hardest Part"" Tour",36
"3-2-1",5
"ALEX THE ASTRONAUT  + Guests",28
"The Mark Fitzgibbon Trio",24
"Journey Of Sound pres. Kevin di Serna (AR) - Melbourne",54
"Asanti Beats",12
"Eils & The Drip + Headspin",26
"The Last Martyr - Requiem EP Launch",35
"The Toot Toot Toots Ride Again (SOLD OUT)",41
"Fawkner, Once Were Lost & Bitch Eyes",36
"Liquid Architecture presents: Mun Sing (UK), Cutting Room, Sylvia, crwlr + more",79
"Pat Todd and The Rankoutsiders (USA) + Blowers, Poppin Mommas",61
"DECENNIAL DELIRATION at The Tote",32
"CLUB RIOT FT. EGOISM (SYD)",26
"Fenn Wilson + The Weather W Chitra",34
"CHIMERS - Launch + BENCH PRESS + NOHOPER",40
"Smoking Vinyl (Front Bar)",25
"Quivers (Oyster Cuts Album Launch)",34
"Sugartone (Single Launch) w/ Scares + Shakespeare",49
"DJ",2
"LILBUBBLEGUM AUSTRALIAN TOUR | Melbourne",40
"Jimmy the Saint & the Sinners",29
"Willis Anne",11
"Hook N' Sling! Greasy Soul Dance Party",38
"HABIBI'S HOUSE - DJ HABIBEATS",29
"MARC W/ GOOEY DROP + CULACCINO",30
"TITTY TWISTER",13
"Still Out Of Order Fest 2",25
"Big League w/ Tim Steward",25
"FREE ENTRY ARVO SHOW: YEEVS + PURRERS",37
"Tjum Tjumba Presents: Braj - ‘Overbored’ Single Release",55
"K.Walsh & The Podium Babies (album launch) + Tali & The Arms + Hogwash + Sweet Nothing",86
"Nice Girl",9
"Sweetie and Friends (Vinyl DJs)",31
"Ant Eye Comedy (Gold Coin Donation)",35
"Acoustic solo",13
"November Sounds",15
"Relax With Max",14
"M1llionz Australia Tour 2024",28
"Dunn D 'Anthems - Burn City' Launch",35
"ROMEO WORLD TOUR",16
"HOUSE OF LIGHT + S:BAHN + WINTERNATIONALE + FIELD MONUMENTS",59
"The Paul Williamson Quartet plays the music of Theloniouas Monk",63
"EYEZ & GRIM STICKERS - The Link Up Tour | Melbourne",51
"BODY MUSIC",10
"Kurilpa Reach 'Keep Falling' Tour - Melbourne",45
"Little Guilt “Little Tour”",26
"Mirror Clippers ""Funeral"" single launch",39
"Ghost Mutt (QLD) w/ Papperbok + Gregory",39
"Unwound (USA)",13
"LEROY MACQUEEN",14
"Saturday Night DJ",17
"The Amigos",10
"BLUE MOON RAVE 1.0",18
"Resident DJ",11
"DJ",2
"Upstairs at the Rochey",22
"CALL ME MAYBE: 2000s + 2010s Party ",35
"Midnight Circuitry / Synaptic Dreams (Front Bar)",48
"Ski Mask The Slump God - Unofficial Afterparty",46
"DJ (Rooftop)",12
"Aaliyah Salem",13
"The Punters Trad New Orleans Jazz",33
"Los Dominados & The Interceptors in The Tote Front Bar",54
"FREE ENTRY ARVO SHOW: RUNNERS & THE YOUNG + GHOSTS ON THE HIGHWAY",65
"The Distant South",17
"**FREE ENTRY** CRAIG WOODWARD TRIO LIVE AT THE CATFISH",54
"JJ McCann & the Transmission",28
"SUNDAY SESSIONS WITH YOLANA INGLEY II BAND",42
"Stingo Blues",12
"Jess Sneddon and Alexmak",24
"Return to the Gaso",18
"KXX, Teira Stuart and Pullover",30
"Sime Nugent & The Capes",23
"The Hoodoo Men",14
"Soul of Fitzroy Vinyl DJ",24
"Amelia Adler with Tenderise and Jasmijn Woods",45
"Having a Yap",12
"A Stationary Frame 'Mischievous Deceased' Single Launch w/ My Safe Word Is Murder, De Porsal, and Sweatshop",107
"TEDDIE - ""Lightspeed"" launch party",34
"Black Jesus Experience",22
"Bad Decisions Comedy",20
"The Chilli Pickers (Front Bar)",30
"Domingo Latino - Quarter Street",31
"Oliver Zeyad: First Headline Show",33
"AND THEN THEY RUN",17
"GOOD CALL",9
"NIEUW MONDAYS",13
"MORBID MONDAYS: UNDERGANG (Denmark) + DOUBLED OVER",50
"Monday Buffet ft. Isabella Furtuna & Mia Marcelle",49
"DNB Mondays-Pulse Audio Takeover",32
"Acoustic Music",14
"THE OLD BAR GALLERY PRESENTS: FLAGRANT DYKERY - CJ STARC + SOPHIE SHINGLES",74
"Make It Up Club",15
"Seb Szabo & Special Guests (12/11)",34
"THE COUNTRY & WESTERN RAMBLERS",30
"Dole Night with Select All + Finn Kirby",39
"BASHKA w/ DJ Discotecadéliador + ElfT on Decks",46
"Jaubi & Tenderlonious | Fully Seated & In The Round! SOLD OUT",61
"The James Sherlock Trio",23
"Afro Space Jazz Industry",24
"FREE ENTRY OLD BAR KARAOKE",26
"Dole Night with Select All + Finn Kirby",39
"Afro Space Jazz Industry",24
"The James Sherlock Trio",23
"Jaubi & Tenderlonious | Fully Seated & In The Round! SOLD OUT",61
"BASHKA w/ DJ Discotecadéliador + ElfT on Decks",46
"FREE ENTRY OLD BAR KARAOKE",26
"Acid Chess Club (Casual Night)",30
"Tinkle: Drag Karaoke",20
"The Sweet Souls (Front Bar)",27
"JEFF ROSENSTOCK (SOLO) LAST MIN SHOW @ THE TOTEEEEE!!!",54
"Go Getters Vol 5",16
"Maeve Grieve - Debut EP Launch",30
"Little Shogun - Great Rock!",27
"Jamie the Scorpio Dance of the Evil",35
"Duncan Graham and The Way In",28
"Children Collide",16
"SUPERTART + CRASH_08 + QUEEN HYENA",34
"Blow",4
"Breaking Sound Melbourne",24
"The Hetty Kate Quartet feat The Mark Fitzgibbon Trio",52
"KOKOKO!",7
"THURSDAYS WITH THE RAILWAY GANG",31
"Fatdog and the Tits (QLD) with Black Dog Cat Band and The Coffins",65
"BAREFOOT SPACEMEN",17
"Honkytonk",9
"KOKOKO! (DR Congo) | Live at Punters Club",41
"Jack Milligan",13
"Shalini, Smooker",16
"Brett Wood",10
"Acoustic Act",12
"DJ Beenak | Punters Rooftop Sessions",36
"Acclivous Quartet (Front Bar)",29
"Cardamon B and Kylie MinD",25
"November Sounds",15
"Zombeaches - End of Year Show!",30
"Live Music",10
"DUSTHEAD",8
"3-2-1",5
"Ra Ra Viper “Big Speak” Aus Tour",32
"Asanti Beats",12
"Sleepazoid RWTD Single Launch",29
"Beckah Amani – LOVE YOU LIKE A SUPERSTAR TOUR",45
"Horsepower 'A Tear or Two: The Tour' w/ Mindrace + Skorn + Seven Hells + Implode",80
"Jacob Fitzgerald & The Electric City Boston Avenue EP Tour | Melbourne",70
"Arabella & The Heist + Psychobabel",34
"THE BRAKES - launch + PROGRAM + THE ANTICS",42
"Upstairs//Downstairs Pres: Toma Kami (FR) + Yushh (UK)",54
"Fenn Wilson + The Weather W Kisses",34
"Bukowski w/ Grass Stains & Silk Village",39
"A Fundraiser For Kaiborg ft. Dumb Punts, Drunk Mums, Elvis II + Solder",70
"Twitch DJs | Groove House | 15.11.24 @ Laundry Bar",50
"Prophetic Justice Ministry Vol.1 Album Release with LST and Destiny T.T",71
"Smoking Vinyl (Front Bar)",25
"Natasha Bianca 'SHE - THE TOUR'",31
"The VANNS - Acoustic & Intimate",31
"TRVE KVLT - HEAVY & HARDCORE",28
"Lune Ranger w/ Alison Parade + Pepper La Floyd",46
"Merryn Jeann",12
"Catholic Guilt",14
"Eat The Beat & Thick As Thieves : TOWNSHIP REBELLION",52
"DJ",2
"DJ Relaxative",13
"Lewis C",7
"Tenderlonious (UK) & Horatio Luna | Live at Punters Club",56
"Avneet Basra",12
"Reasons To Be Cheerful: Mayurashka (JPN) b2b Lauren Hansom & Babycino b2b Finding Figaro",88
"SIGNS OF CHANGE W/ AFTERGLOOM & FLOWER FIELD FOLLY",50
"The Andrea Keller Transients Trio",33
"Fax Machine | Live at Punters Club",34
"Verbrasco presents ""Melbourne District Music Awards""",52
"Full Goon ft Keggin, Rattleback, The Pingers & more!",52
"R.U.B. (Single launch) + Serpette",33
"Mousse Cannon//Filthy McNasty's//A Stationary Frame @ the Tote (front bar) Matinee Manticore Monster",100
"FREE ENTRY ARVO SHOW: GRAND BAXTER + ALISTER TURRIL",51
"Midnight Tenderness,DJ Luv You",30
"Sweetie & Friends & Danny Lisati | DJ sessions",46
"Acoustic solo",13
"November Sounds",15
"Katharine Wournos",17
"Melquíades (DJ) Free!",21
"GIRL AND GIRL + SQUARE + SPURTS",31
"Rocket Science with Maggie Pills, Brown Spirits & Gravel Samwidge",65
"Live Music",10
"Painters and Dockers - THE BOY WHO LOST HIS JOCKS - 40 Years On!",64
"Harakiri For The Sky (AUT) + AUSTERE",36
"Civic Video",11
"Radar - Live at The Gaso",24
"Fruit Tones (UK) with Ouzo! and Kitchen People",46
"Club Country - New Wave Dance Party!",36
"LUNATIC 'Incredible' Album Launch",33
"Wild Dog Mountains (single launch) + Bin Night Bandits",54
"aleksiah – You’re Never Getting Rid Of Me",41
"Arbes Debut Album 'Counterways' Launch",38
"Ollie Shute Afro-Cuban Septet",29
"4hr Parking (Single Launch)",27
"Titus O'Reily - 'Sport: The Unauthorised History'",49
"Zach Byrne 'Inner Dialogue' Album Release Show",46
"SoSo 'The Greatest Hits (And Misses)' Tour ft. Down And Out - Melbourne",71
"Shunya Sessions",15
"Saturday Night DJ",17
"Eat The Beat : Connect ft. RORY MARSHALL (3h Set)",49
"Sophie Olivia",13
"DJ",2
"Resident DJ",11
"The Amigos",10
"Lewis Toms",10
"Nomad JR",8
"Know Your Product - Disco Not Disco x The Saints Afterparty",59
"3065 PARTYGIRL with DIRTY VERSACHI",34
"Midnight Circuitry / Synaptic Dreams (Front Bar)",48
"FRED AGAIN X DOM DOLLA X TIESTO | Best Of Night",47
"POST MALONE PARTY",17
"DJ (Rooftop)",12
"The Punters | Every Sunday at Punters Club",42
"FREE ENTRY ARVO SHOW: THE REMOTES + 90BPM",41
"Hot Tubs Time Machine + Tamara and the Dreams(Solo)",51
"SUNDAY SESSIONS WITH THE HAPPY FEW",34
"Rod Paine and the Full Time Lovers",34
"Cash Williams & Nic Malouf with Naomi Oakley",44
"Fruit Tones (UK) with special guests",36
"Yacht Rock Revival",18
"Stingo Blues",12
"Fundraiser for Support Act",26
"Mastaneh and Evariste",21
"Jess Sneddon and Alexmak",24
"Kit Genesis - 'Romanticism' EP Launch presented by Hunger Digital",65
"Quatroformaggio",15
"The Shifties",12
"Hamish Bloom + Inkling (solo) and Lucy Harrington",49
"Soul Of Fitzroy ft. Northside Records | ON THE ROOFTOP",54
"Black Jesus Experience",22
"Bad Decisions Comedy",20
"Mar y Mar (Front Bar)",21
"Domingo Latino - El Bembe Orchestra",35
"Original Alt-Rock Fest! Charlie and the Enablers, B-SIDES, and Emma Yue at The Gaso",83
"Heists Terminal Unrest Release Tour | Melbourne",47
"Glam x bubble pres. dr dubplate",31
"Marro Younan (Album Launch)",27
"Glam x Bubble pres. Dr Dubplate (UK)",36
"Anna Ransom (Tides Tour)",24
"RageInSaturn Pt. 1",18
"PHASE WANDERER + THE MODS + PRIVATE MOUNTAIN",44
"HH & Sax Gawn",13
"DNB Mondays Domain & Manaki Takeover",36
"NIEUW MONDAYS",13
"OUR WEEKENDS END ON MONDAYS | with The Great Divides + GAVIN!",61
"FREE ENTRY MORBID MONDAYS: BUSHFIRE MOON + BLUT UND LARM",56
"Best of the West Fest",21
"Eye of The Bholder Upstairs @ The Tote",38
"Make It Up Club",15
"Seb Szabo & Special Guests (19/11)",34
"Sunny Daze",10
"DOLE NIGHT @ THE TOTE - THE MONGRELS & SISYPHUS",47
"The James Sherlock Trio",23
"snug. w/ RACH + Love From",25
"Afro Space Jazz Industry",24
"FREE ENTRY OLD BAR KARAOKE",26
"The rookies - Jazz",18
"Mukul Jiwnani",13
"DOLE NIGHT @ THE TOTE - THE MONGRELS & SISYPHUS",47
"The James Sherlock Trio",23
"snug. w/ RACH + Love From",25
"Afro Space Jazz Industry",24
"FREE ENTRY OLD BAR KARAOKE",26
"Mukul Jiwnani",13
"The rookies - Jazz",18
"Tinkle: Drag Karaoke",20
"Steamboat Whistlers (Front Bar)",31
"Live to Ground Showcase",23
"Taj Ralph EP Release: FREE!",27
"ALZZY (Single Launch)",21
"FINN WATSON-HOOK AT THE TOTE HOTEL with special guests Terra Rouge and The Satts!",81
"Mercedes Sosa Experience | Australia Tour 2024",46
"THURSDAYS WITH THE RAILWAY GANG",31
"Will Larsen Presents",20
"Lovely Lonely Landfill rock the Tote! with: Omela & Chelsea Elder",65
"GREESY | BAD LITTLE BASTARD ALBUM TOUR",38
"Dynasty",7
"GOOD MUSIC PRESENTS: REAL SLEAZE w/ LIPSTEREO + THE HEART SHAPED ACES + THE VALIANTS",84
"Oliné (Single Launch) w/ Inanna Indigo + Sammy Murphy",53
"Blow",4
"The Abby Constable Quartet",26
"Blue Sabbath",12
"Xander",6
"ANDY GOLLEDGE",13
"OG",2
"Honkytonk",9
"Dom Italiano",12
"Acoustic Act",12
"DJ 3rd Orbit | Punters Rooftop Sessions",39
"Sex On Toast 'Pegasus Tour'",27
"Benjamin Attiche Trio (Front Bar)",33
"King's Vengeance: ""Mystery"" Single Launch with Cherry Octane & HZED.",68
"November Sounds",15
"Peter and The Test Tube Babies (UK) Australian Tour",51
"Live Music",10
"KING",4
"SKIPTONS 'YOU' SINGLE LAUNCH",28
"TIGER - 'DIAMOND RING' SINGLE LAUNCH",36
"3-2-1",5
"Mystery Shopper + Secret Special Guest!!",40
"Nice Biscuit - SOS Album Tour",29
"Mike Costeloe/Hikurangi Schaverien-Kaa Quartet (NZ)",51
"Grimwoods last show of 2024, with supports from Clit Split and Anglerr",70
"Asanti Beats",12
"STOKAHR + BRADILY + DIACETYL + MARKU + VESHAWN",46
"Le Shiv - Melbourne, (un)adored EP Tour",39
"The Golden Gaytimes (SYD) + Party Pest",38
"Smoking Vinyl (Front Bar)",25
"Neil Junior w/ Neo Sky Collective + Broden Tyrrell",50
"Wasteman Watering Weeds double single launch at the Fitzroy Pinnacle",68
"Tom Ellis Live On Stage",23
"DJ",2
"Mixed Up Everything + Select All + Sledgehammer Honey (UPSTAIRS)",64
"NOORIYAH PRES. THE MIDDLE OF EVERYWHERE",39
"Woody Samson",12
"LOST FILES 003",14
"DJ Saatana Lee Rose",19
"FREE TECHNO - The Melbourne TECHNO Collective turns 22",54
"Matinee: The 1980s",18
"Drano Hotshots, Crank Williams and Patsy Decline + Citrus Fuzz",62
"Lucid Dreams",12
"FREE ENTRY ARVO SHOW: THE RELAYS + FORKLIFT ASSASSINS",53
"General Goods + Kayo Roses Flying Circus",40
"Honeypot Mini-Fest feat. Sunday Honey, Marvell, Franjapan, Berkeley + more",74
"Sweetie & Friends + DJ Steely Ann | DJ sessions",47
"Acoustic solo",13
"November Sounds",15
"ALWAYS LIVE AT Persa Celebrating the Tibi Agency 1st Birthday",61
"ITH x Glamorama present DJ Q (UK)",33
"Live Music",10
"Dreamworm",9
"The Rubber Soul Reunion",23
"Donny Benét Intimate Desires",28
"Loose Content + Ouzo and The Halves",35
"Outsider ‘Surrounded By The Ashes Of Others’ Launch | Melbourne",63
"FANCY WEAPON + GARGOYLE + THE MAN FROM ATLANTIS",47
"Wild Dog Mountains (single launch) + Bin Night Bandits",54
"The Mat Jodrell Quartet",23
"POISON RUIN, BODY MAINTENANCE, VAMPIRE, PHANTASM, ARMOUR",56
"CINTA x Ella Haber: Double Headline Tour",40
"New Delica, James Mcq & Felix Leuning live at the Bendigo Hotel (Upstairs)",74
"Lewis C",7
"Finn Alexander and The Forever Party (WA) with Sweet Nothing",60
"The Slims with Hey Spriro! and Special Guests",45
"Howard Eynon",12
"MR. INDUSTRY w/ Swapmeet (SA), Local The Neighbour @ The Tote Upstairs",70
"The Mat Jodrell Quartet",23
"Supervibe w/ Tom Riccioni + Special Guests",42
"LUX TREVIS",10
"Electric Mary",13
"Saturday Night DJ",17
"Eat The Beat : Elevate ft. Sammy La Marca",41
"DJ",2
"FREQUES 23/11",13
"Resident DJ - Saturday",22
"The Amigos",10
"DJ Damien Mack",14
"Kuniyuki",8
"Jerry | Live at Punters Club",28
"Midnight Circuitry / Synaptic Dreams (Front Bar)",48
"DJ (Rooftop)",12
"Matinee: Beers & Tears (Live Podcast)",37
"CONFIDE Queer Summer Sunday Series ☼ Vol. 6",43
"Soul Of Fitzroy ft. Northside Records | ON THE ROOFTOP",54
"GUN LAWS with KILL BELL and PASSAT ACT",38
"Baby Velvet 'Viruous' Single Launch",35
"The Punters | Every Sunday at Punters Club",42
"FREE ENTRY ARVO SHOW: ROLES - Launch + GREAT AUSTRALIAN BANK",60
"The Cat's Miaow + Monnone Alone",31
"**FREE ENTRY** QUEENS OF THE WEST LIVE AT THE CATFISH",53
"Isobel Knight + Cash Williams & Nick Malouf duo",47
"SUNDAY SESSIONS WITH WOLF AND WILLIE",36
"Jules Boult and the Redeemers",29
"Stingo Blues",12
"Pollyman",8
"Malcura (Front Bar)",19
"Black Jesus Experience",22
"Bad Decisions Comedy",20
"Domingo Latino - Calle Luna",27
"Mansplainers ‘The Sheriff’ Single Launch",40
"Alex Bowen",10
"SUNDAY COMEDOWN",15
"SNAILGUN + VIDEO NASTY (NZ) + PURRERS + THE CARS THAT ATE PARIS",63
"HH & Sax Gawn",13
"2Bular",6
"JASON FALKNER (USA) W/ THE WELLINGTONS (duo)",44
"DNB Mondays serving Drum'n'Bass every Monday",44
"NIEUW MONDAYS",13
"OUR WEEKENDS END ON MONDAYS | with The Pinstripes + Claire Walding",66
"FREE ENTRY MORBID MONDAYS w/ ICONOPLAST + HARA-KITTY!!",54
"Paul Williamson's Hammond Combo",31
"MELLOWING & MADDY PETCH",23
"Sebi Starr (Goodbye Gig)",24
"Miguel Brooking - EP Launch Party",33
"Make It Up Club",15
"Seb Szabo & Special Guests (26/11)",34
"Mukul Jiwnani",13
"The Outernet",12
"Kimberly + Bailey Brown + Jessie Ford-Johnstone @ The Gaso Upstairs",67
"DOLE NIGHT w/ Sister Paul (JPN) and Peter Haren & The Wolves",60
"Deb 5000 Luxury Tour",20
"Afrospace Jazz Industry",23
"The James Sherlock Trio",23
"Alice and the Slags w/ T H U G + special guests",47
"Glen Wee",8
"Waterbugs Of Merri Creek",24
"OLD BAR KARAOKE",15
"The rookies - Jazz",18
"The Outernet",12
"Kimberly + Bailey Brown + Jessie Ford-Johnstone @ The Gaso Upstairs",67
"DOLE NIGHT w/ Sister Paul (JPN) and Peter Haren & The Wolves",60
"Glen Wee",8
"Afrospace Jazz Industry",23
"Alice and the Slags w/ T H U G + special guests",47
"Waterbugs Of Merri Creek",24
"Deb 5000 Luxury Tour",20
"The James Sherlock Trio",23
"OLD BAR KARAOKE",15
"The rookies - Jazz",18
"Skabhangers (Front Bar)",23
"Shenay (EP Launch)",18
"Cass Aware Make Bad Decisions",29
"ALWAYS LIVE presents Déjà Rêvé with DEVAURA + FRIENDS at The Evelyn",67
"Sweatshop Video Launch at the Tote w/ A Stationary Frame, Favoured State & BRAND",80
"World’s Best Neighbours ‘Robert Duvall’ Single Launch",53
"Will Larsen Presents",20
"MUDRAT x DANCINGWATER w Soju Gang LIVE IN NAARM",47
"Live At Bodriggy",16
"DEB 5000 (NZ) + SCUD + SUPER TART",33
"WAAX - Home For The Holidays",28
"Julius Schwing Trio",19
"Bloom Sound w/ Her Shadow Crown + Neon Wave + Moon Maze",55
"Standing Circle",15
"Soft Excursions #4",18
"Jake Dalby with Wasted Years and Down the Drain",47
"Blow",4
"Jack Milligan",13
"Golden Hour | Live at Punters Club",34
"Honkytonk",9
"Acid Chess Club",15
"Acoustic Act",12
"Morgan Wright + Meadow Soprano",30
"Brett Wood",10
"A Night For Seaweed",19
"Workshyyy",9
"Standing Circle (Front Bar)",27
"DJ Bridget Small | Punters Rooftop Sessions",43
"Acoustic Music",14
"Apricot Ink's Vibey Barbie EP Tour",34
"Gosika (NSW) and Gulge (NSW) @ The Bendi (UPSTAIRS) w/ Bludger, Hematemesis and False Dichotomy",95
"November Sounds",15
"EYE OF THE ENEMY - Celebrating 10 years of 'The Vengeance Paradox'",66
"ADHESION - 'UNLEADED' ALBUM LAUNCH",34
"Pepper La Floyd ‘Goes Fourth’ EP Launch",39
"Asanti Beats",12
"3-2-1",5
"INSÆN: Double Single Launch Show",32
"Lonely Gods",11
"Cloning Australian Tour 2024",28
"Katchafire (NZ) w/ Laughton Kora",32
"Wilding single launch + Wesley Fuller",37
"JK-47  Regrowth Tour",20
"EZINES (LIVE), HYBRID MAN, MOOPIE, MISCMEG + MORE",49
"Willowbank Grove live at the Leadbeater Hotel",45
"Sol Hopkins + Ballie's Bazaar",29
"Seminal Rats 40th Anniversary Celebrations",42
"The Hugh Stuckey Trio",21
"STEPPERS - Launch + SOCIAL STREET + KEETS",41
"Tumour/Burn In Hell Split Launch Mel",36
"Please People w/ Busted Chops + Flower Extract",46
"Fairtrade Narcotics",19
"Smoking Vinyl (Front Bar)",25
"The Ferguson Rogers Process",27
"DJ",2
"SUBLIMINAL: BLOOD DIAMOND ALBUM LAUNCH",38
"INTERVAL FRIDAYS - MARRØN (NL)",30
"Gerry Murphy",12
"Tejo D'Cruz",11
"PROTO EXOTICA | PUNTERS CLUB TAKEOVER",37
" BRAZILIAN FOOD + MUSIC FESTIVAL",32
"Southbound Snakecharmers + Special Guests",41
"Matinee: Dug By Us (Live Podcast)",33
"The Taxpayers Australian Tour 2024 (ALL AGES)",45
"FREE ENTRY ARVO SHOW: ADAM FRANKLIN + PRIVATE STASH",51
"Sister Paul (JPN) + support",27
"Shay Bakar,Joy Boy",18
"Shay Baker + Joy Boy",20
"Sweetie & Friends | Rooftop Vinyl Sessions",42
"GUNK - Girls in Punk",20
"Acoustic solo",13
"Omnisutra Sumeria",17
"November Sounds",15
"Acoustic Music",14
"ADHESION - 'UNLEADED' ALBUM LAUNCH",34
"THE RETURN OF THE BURBS",23
"DJ Man Child",12
"JACK DYLAN AND THE VILLAINS & JOE TERROR DUAL ALBUM LAUNCH",58
"UNCLE GEEZER// FUXACHE// METH LEPPARD// TONGUE SCUM// NEPHELAM// WHO BASTARD",76
"GRAZER I Always Follow Album Launch",35
"Majak Door | Live & Seriously Real! For One Night Only at Persa",63
"Boyfriend TV - 'For the Teenage Soul' Album Launch",50
"THE MEANIES single launch",25
"The Barney McAll Trio",21
"Barney McAll Non Compliance Trio",32
"METHO launch Tom Lyngcoln's RAGING HEAD EP  with Serpette Slag Queens",69
"Little Quirks Debut Album Tour",30
"The Taxpayers Australian Tour 2024",34
"Ben Wright Smith & Friends (single launch) + Ellen James and the Waning Crescents",81
"Licklash 'Big Smile' EP Launch at The Tote Upstairs with Bughunt, Hearts & Rockets, and Glen",92
"ROOTBEER - 35 year reunion show!",32
"Lewy C",6
"War Room + Tongue Dissolver",27
"R.U.B with Serial Pest (NSW) and Filthy McNastys",48
"Big Special (UK), Radio Free Alice and Sex Mask",47
"Shrimpwitch totally, finally last show! Feat. Hunny Machete and Rhysics",71
"CHI WOW WAH CITY - Melbourne- Viken Arman- (France), Uone, Amaru Tribe Live & Sriracha",86
"50/50 - FULLY GASSED #10",24
"The Amigos",10
"GLAMORAMA SATURDAYS FEAT. FOSTERS",33
"SATURDAY NIGHT PARTY AT YAH'S (till 5AM)",40
"Saturday Night DJ",17
"Resident DJ",11
"SLOW GRIND FEVER #107",21
"DJ",2
"The Moment | Live at Punters Club",33
"Lewis Toms",10
"JAWANI 4EVA",11
"Hysteric",8
"DJ (Rooftop)",12
"Mass Appeal Sunday Jam",22
"Matinee: Day One",16
"FREE ENTRY ARVO SHOW: TRUCKERS FOR CHRIST + THE DELVENES",56
"FlavourFest x 1st Product",25
"The Melbourne Blues Collective",30
"Food, Wine, Love",16
"Who Cares, Girlpower, Gavin ! (NYE)",35
"Stingo Blues",12
"Jon Con",7
"Jeff Williams Trio w/ Kaye Patterson",36
